Sl. No.,Year,Peak WL (m),Recorded Date,Time,Discharge* (cumecs)
1,1965-1966,562.657,21-07-1965,00:00:00,4186
2,1966-1967,561.042,29-07-1966,21:00:00,3302
3,1967-1968,564.112,28-07-1967,02:00:00,5067
4,1968-1969,556.682,07-08-1968,14:00:00,1414
5,1969-1970,561.682,01-08-1969,09:00:00,3641
6,1970-1971,558.242,21-08-1970,12:00:00,2006
7,1971-1972,558.097,31-08-1971,09:00:00,1947
8,1972-1973,558.762,07-07-1972,22:00:00,2224
9,1973-1974,560.442,08-07-1973,07:00:00,2999
10,1974-1975,559.377,05-07-1974,13:00:00,2496
11,1975-1976,561.442,10-07-1975,17:00:00,3512
12,1976-1977,567.162,07-06-1976,03:00:00,7177
13,1977-1978,559.912,07-07-1977,15:00:00,2743
14,1978-1979,558.402,02-09-1978,16:00:00,2072
15,1979-1980,559.462,08-08-1979,18:00:00,2534
16,1980-1981,560.562,05-08-1980,21:00:00,3059
17,1981-1982,558.632,10-07-1981,02:00:00,2169
18,1982-1983,557.392,29-07-1982,16:00:00,1672
19,1983-1984,558.982,17-08-1983,06:00:00,2320
20,1984-1985,559.082,18-07-1984,20:00:00,2364
21,1985-1986,557.317,02-08-1985,07:00:00,1644
22,1986-1987,559.062,30-06-1986,02:00:00,2355
23,1987-1988,557.472,08-07-1987,14:00:00,1702
24,1988-1989,563.212,03-08-1988,05:00:00,4513
25,1989-1990,559.722,25-07-1989,13:00:00,2654
26,1990-1991,562.312,18-08-1990,12:00:00,3989
27,1991-1992,561.147,28-07-1991,07:00:00,3357
28,1992-1993,559.772,14-08-1992,10:00:00,2677
29,1993-1994,559.402,19-06-1993,15:00:00,2507
30,1994-1995,562.252,15-07-1994,13:00:00,3955
31,1995-1996,556.892,20-07-1995,15:00:00,1488
32,1996-1997,561.512,04-10-1996,13:00:00,3549
33,1997-1998,563.922,24-08-1997,08:00:00,4948
34,1998-1999,558.182,09-07-1998,06:00:00,1982
35,1999-2000,558.742,28-07-1999,07:00:00,2216
36,2000-2001,555.662,12-07-2000,22:00:00,1077
37,2001-2002,556.342,09-07-2001,18:00:00,1297
38,2002-2003,555.582,07-09-2002,08:00:00,1052
39,2003-2004,554.912,28-07-2003,08:00:00,855
40,2004-2005,562.395,12-08-2004,23:00:00,4036
41,2005-2006,565.045,02-08-2005,23:00:00,5675
42,2006-2007,566.305,30-07-2006,13:00:00,6548
43,2007-2008,561.465,02-07-2007,08:00:00,3524
44,2008-2009,560.115,11-08-2008,09:00:00,2840
45,2009-2010,555.775,15-07-2009,11:00:00,1112
46,2010-2011,556.195,27-07-2010,01:00:00,1248
47,2011-2012,563.485,04-09-2011,11:00:00,4678
48,2012-2013,556.235,26-07-2012,02:00:00,1262
49,2013-2014,559.235,25-07-2013,15:00:00,2432
50,2014-2015,556.865,24-07-2014,10:00:00,1479
51,2015-2016,556.345,04-10-2015,07:00:00,1298
52,2016-2017,557.085,26-09-2016,18:00:00,1558
53,2017-2018,557.545,07-10-2017,12:00:00,1730
54,2018-2019,557.245,13-04-2018,13:00:00,1617
55,2019-2020,566.145,06-08-2019,19:00:00,6434
56,2020-2021,559.505,17-08-2020,19:00:00,2553
57,2021-2022,565.485,24-07-2021,08:00:00,6080
